sub,run,obj,type,z,roi
25,pre-learned,last,competitor,-0.00281978038461031,CA1
26,learned,first,competitor,0.011057753784529,CA1
26,learned,last,competitor,0.0135196153371659,CA1
26,pre-learned,first,competitor,0.0104120296852275,CA1
26,pre-learned,last,competitor,-0.00699347601999883,CA1
27,learned,first,competitor,0.0172428519823262,CA1
27,learned,last,competitor,-0.025254487851038,CA1
27,pre-learned,first,competitor,-0.00539182924543815,CA1
27,pre-learned,last,competitor,0.0116549471276477,CA1
28,learned,first,competitor,0.0189763526700526,CA1
28,learned,last,competitor,-0.00893651169756707,CA1
28,pre-learned,first,competitor,-0.01587978286206,CA1
28,pre-learned,last,competitor,0.00237779760442224,CA1
29,learned,first,competitor,-0.0348983915876381,CA1
29,learned,last,competitor,0.012610057038003,CA1
29,pre-learned,first,competitor,0.037771853185904,CA1
29,pre-learned,last,competitor,0.0199361334063608,CA1
31,learned,first,competitor,0.00580420183451181,CA1
31,learned,last,competitor,-0.0308261776252593,CA1
31,pre-learned,first,competitor,0.00687921110356763,CA1
31,pre-learned,last,competitor,-0.0462188875900813,CA1
32,learned,first,competitor,0.0443694967677374,CA1
32,learned,last,competitor,0.0115580554740213,CA1
32,pre-learned,first,competitor,-0.0119940616826716,CA1
32,pre-learned,last,competitor,0.0328319866132235,CA1
33,learned,first,competitor,0.0201340122096226,CA1
33,learned,last,competitor,-0.0261933420485742,CA1
33,pre-learned,first,competitor,-0.0116880073714561,CA1
33,pre-learned,last,competitor,-0.0356490243091072,CA1
35,learned,first,competitor,0.0437698307950908,CA1
35,learned,last,competitor,-0.00120423688997266,CA1
35,pre-learned,first,competitor,0.0225886505087375,CA1
35,pre-learned,last,competitor,0.0202243443437807,CA1
36,learned,first,competitor,0.00726388738758963,CA1
36,learned,last,competitor,0.014030325231685,CA1
36,pre-learned,first,competitor,-0.0279400381848481,CA1
36,pre-learned,last,competitor,0.0136662325991754,CA1
1,learned,first,target,-0.0222787270319589,CA1
1,learned,last,target,-0.00586211807885346,CA1
1,pre-learned,first,target,-0.00700866923407107,CA1
1,pre-learned,last,target,-0.0133844771394683,CA1
2,learned,first,target,-0.0169910869185397,CA1
2,learned,last,target,0.00596512037077958,CA1
2,pre-learned,first,target,-1.16953507458029e-4,CA1
2,pre-learned,last,target,0.0126759988792046,CA1
3,learned,first,target,0.0177255354687081,CA1
3,learned,last,target,-0.0199151573618313,CA1
3,pre-learned,first,target,0.00213090735145033,CA1
3,pre-learned,last,target,0.0189302999856359,CA1
4,learned,first,target,0.0179498014024679,CA1
4,learned,last,target,0.0042434821219309,CA1
4,pre-learned,first,target,0.00695480993221452,CA1
4,pre-learned,last,target,1.73864330641448e-5,CA1
5,learned,first,target,-0.0148933491954922,CA1
5,learned,last,target,0.0251330910268856,CA1
5,pre-learned,first,target,-0.0013227162653851,CA1
5,pre-learned,last,target,-0.0207771409745005,CA1
6,learned,first,target,0.00142651073644405,CA1
6,learned,last,target,0.0097828461228207,CA1
6,pre-learned,first,target,0.0105060763986862,CA1
6,pre-learned,last,target,-1.58178963674481e-4,CA1
7,learned,first,target,0.00306647782941553,CA1
7,learned,last,target,0.00254913976193449,CA1
7,pre-learned,first,target,-0.0159443307653616,CA1
7,pre-learned,last,target,0.00526381000289814,CA1
9,learned,first,target,-0.0134250406327799,CA1
9,learned,last,target,-3.86056939865181e-4,CA1
9,pre-learned,first,target,-0.00357750534784652,CA1
9,pre-learned,last,target,0.00645694862712029,CA1
10,learned,first,target,-0.0252046194727887,CA1
10,learned,last,target,-0.0298051878003315,CA1
10,pre-learned,first,target,0.00374734790914437,CA1
10,pre-learned,last,target,-0.0233951487920021,CA1
11,learned,first,target,-0.00818457913418859,CA1
11,learned,last,target,0.0208452214278796,CA1
11,pre-learned,first,target,-0.0186210227657559,CA1
11,pre-learned,last,target,-0.0292998690002738,CA1
12,learned,first,target,0.0253843061926331,CA1
12,learned,last,target,-0.0174836536652008,CA1
12,pre-learned,first,target,0.0107986774720949,CA1
12,pre-learned,last,target,-0.0211934310357148,CA1
13,learned,first,target,-0.0124201031661007,CA1
13,learned,last,target,-0.00284141796412439,CA1
13,pre-learned,first,target,0.00809394285443846,CA1
13,pre-learned,last,target,-0.0127044868478828,CA1
14,learned,first,target,-0.012296987294427,CA1
14,learned,last,target,-1.81794038352369e-4,CA1
14,pre-learned,first,target,-0.0118009279480424,CA1
14,pre-learned,last,target,-0.00666154369199957,CA1
17,learned,first,target,-0.0114853006003529,CA1
17,learned,last,target,0.00352919660892635,CA1
17,pre-learned,first,target,0.0162108279113476,CA1
17,pre-learned,last,target,-0.00569926329473888,CA1
18,learned,first,target,-0.0125370251721082,CA1
18,learned,last,target,0.0106407848425952,CA1
18,pre-learned,first,target,0.0678932435505925,CA1
18,pre-learned,last,target,-0.0105622945804106,CA1
19,learned,first,target,-0.0129422103454529,CA1
19,learned,last,target,0.0124970264997032,CA1
19,pre-learned,first,target,-0.0229616618565922,CA1
19,pre-learned,last,target,-0.00723745628554504,CA1
20,learned,first,target,-0.00751257424953356,CA1
20,learned,last,target,0.014913246155625,CA1
20,pre-learned,first,target,0.0202588257272598,CA1
20,pre-learned,last,target,-0.0106564025438994,CA1
21,learned,first,target,0.00856361711351184,CA1
21,learned,last,target,0.00311398502428418,CA1
21,pre-learned,first,target,0.00230304069932883,CA1
21,pre-learned,last,target,-0.027337542419094,CA1
22,learned,first,target,0.00528882217567825,CA1
22,learned,last,target,0.028526519471841,CA1
22,pre-learned,first,target,0.0174537492968927,CA1
22,pre-learned,last,target,0.024457683970057702,CA1
23,learned,first,target,0.0151627958837492,CA1
23,learned,last,target,0.00915274971215907,CA1
23,pre-learned,first,target,0.00854644048593857,CA1
23,pre-learned,last,target,-0.00293227764540834,CA1
24,learned,first,target,0.0204222441470655,CA1
24,learned,last,target,0.0151034937416689,CA1
24,pre-learned,first,target,0.00371001327335238,CA1
24,pre-learned,last,target,-0.0177835516528143,CA1
25,learned,first,target,0.00264695241641827,CA1
25,learned,last,target,0.0370759165089981,CA1
25,pre-learned,first,target,4.31460214653113e-4,CA1
25,pre-learned,last,target,0.0228027196943169,CA1
26,learned,first,target,-0.0130481034390844,CA1
26,learned,last,target,0.0391453350153235,CA1
26,pre-learned,first,target,0.00759050524750564,CA1
26,pre-learned,last,target,-0.00253783292391979,CA1
27,learned,first,target,-0.00706112569140357,CA1
27,learned,last,target,-0.0185005460172804,CA1
27,pre-learned,first,target,0.00254886298017289,CA1
27,pre-learned,last,target,-0.00329512394628302,CA1
28,learned,first,target,0.0152501668459002,CA1
28,learned,last,target,-8.87627030052179e-4,CA1
28,pre-learned,first,target,-0.0168905975759996,CA1
28,pre-learned,last,target,0.00663021553762802,CA1
29,learned,first,target,-0.00303415571426967,CA1
29,learned,last,target,-0.00919342190166645,CA1
29,pre-learned,first,target,0.0156354762956996,CA1
29,pre-learned,last,target,0.0179029781821853,CA1
31,learned,first,target,0.0194568939144957,CA1
31,learned,last,target,0.00980329889266141,CA1
31,pre-learned,first,target,-0.0195314524953669,CA1
31,pre-learned,last,target,-0.03440847678861,CA1
32,learned,first,target,0.00864096163659299,CA1
32,learned,last,target,0.018588073179713,CA1
32,pre-learned,first,target,-0.00714990440798931,CA1
32,pre-learned,last,target,-0.0300780252052036,CA1
33,learned,first,target,-0.0143544222412882,CA1
33,learned,last,target,-0.0246259812029803,CA1
33,pre-learned,first,target,-0.00540016602355555,CA1
33,pre-learned,last,target,-0.0128953378907011,CA1
35,learned,first,target,0.0196573687306975,CA1
35,learned,last,target,-0.0208591965802273,CA1
35,pre-learned,first,target,0.00541051607874015,CA1
35,pre-learned,last,target,-0.0276950959185351,CA1
36,learned,first,target,-0.0136800875870214,CA1
36,learned,last,target,-0.010013336450619,CA1
36,pre-learned,first,target,-7.02793786678478e-4,CA1
36,pre-learned,last,target,0.0126646523379256,CA1
