"";"sub";"run";"type";"z";"roi"
"188";1;"Pre";"within_pair-across_pair";0,0117935799208482;"evc_avg_all_top_300"
"189";2;"IP";"within_pair-across_pair";0,00816862883520229;"evc_avg_all_top_300"
"190";2;"Pre";"within_pair-across_pair";0,00835449914084653;"evc_avg_all_top_300"
"191";3;"IP";"within_pair-across_pair";0,0143468477947139;"evc_avg_all_top_300"
"192";3;"Pre";"within_pair-across_pair";-0,0040861954179739;"evc_avg_all_top_300"
"193";4;"IP";"within_pair-across_pair";0,0304530784972952;"evc_avg_all_top_300"
"194";4;"Pre";"within_pair-across_pair";-0,00943526752741409;"evc_avg_all_top_300"
"195";5;"IP";"within_pair-across_pair";-0,0118799090256508;"evc_avg_all_top_300"
"196";5;"Pre";"within_pair-across_pair";0,018947460106072;"evc_avg_all_top_300"
"197";6;"IP";"within_pair-across_pair";-0,00646234385198681;"evc_avg_all_top_300"
"198";6;"Pre";"within_pair-across_pair";0,0343172719989793;"evc_avg_all_top_300"
"199";7;"IP";"within_pair-across_pair";0,014605637042972;"evc_avg_all_top_300"
"200";7;"Pre";"within_pair-across_pair";0,0116163780206301;"evc_avg_all_top_300"
"201";9;"IP";"within_pair-across_pair";0,0150220376958702;"evc_avg_all_top_300"
"202";9;"Pre";"within_pair-across_pair";-0,012693526912869;"evc_avg_all_top_300"
"203";10;"IP";"within_pair-across_pair";0,0668192953340627;"evc_avg_all_top_300"
"204";10;"Pre";"within_pair-across_pair";-0,0375732116386675;"evc_avg_all_top_300"
"205";11;"IP";"within_pair-across_pair";-0,00496837522656263;"evc_avg_all_top_300"
"206";11;"Pre";"within_pair-across_pair";0,0135171412561801;"evc_avg_all_top_300"
"207";12;"IP";"within_pair-across_pair";-0,00823265928899376;"evc_avg_all_top_300"
"208";12;"Pre";"within_pair-across_pair";0,0107553846152473;"evc_avg_all_top_300"
"209";13;"IP";"within_pair-across_pair";-0,00245009827696609;"evc_avg_all_top_300"
"210";13;"Pre";"within_pair-across_pair";0,0102436329104952;"evc_avg_all_top_300"
"211";14;"IP";"within_pair-across_pair";0,0104132081543303;"evc_avg_all_top_300"
"212";14;"Pre";"within_pair-across_pair";-0,0083713739438158;"evc_avg_all_top_300"
"213";17;"IP";"within_pair-across_pair";-0,0124717814797224;"evc_avg_all_top_300"
"214";17;"Pre";"within_pair-across_pair";0,0164518848991079;"evc_avg_all_top_300"
"215";18;"IP";"within_pair-across_pair";0,0407677535722174;"evc_avg_all_top_300"
"216";18;"Pre";"within_pair-across_pair";0,000385350779848685;"evc_avg_all_top_300"
"217";19;"IP";"within_pair-across_pair";0,0292105040651577;"evc_avg_all_top_300"
"218";19;"Pre";"within_pair-across_pair";0,0271983261365515;"evc_avg_all_top_300"
"219";20;"IP";"within_pair-across_pair";0,00958186822027554;"evc_avg_all_top_300"
"220";20;"Pre";"within_pair-across_pair";0,00962738624333226;"evc_avg_all_top_300"
"221";21;"IP";"within_pair-across_pair";-0,00225009775728331;"evc_avg_all_top_300"
"222";21;"Pre";"within_pair-across_pair";-0,0367358845728776;"evc_avg_all_top_300"
"223";22;"IP";"within_pair-across_pair";0,037501858698543;"evc_avg_all_top_300"
"224";22;"Pre";"within_pair-across_pair";-0,000182606431258045;"evc_avg_all_top_300"
"225";23;"IP";"within_pair-across_pair";0,0267090578504762;"evc_avg_all_top_300"
"226";23;"Pre";"within_pair-across_pair";-0,00392413527808189;"evc_avg_all_top_300"
"227";24;"IP";"within_pair-across_pair";0,00928011756753987;"evc_avg_all_top_300"
"228";24;"Pre";"within_pair-across_pair";0,00603614039451524;"evc_avg_all_top_300"
"229";25;"IP";"within_pair-across_pair";-0,0216200509016459;"evc_avg_all_top_300"
"230";25;"Pre";"within_pair-across_pair";-0,0279988046027912;"evc_avg_all_top_300"
"231";26;"IP";"within_pair-across_pair";0,00606428364034386;"evc_avg_all_top_300"
