scene_id;rt;accuracy;confResp;subnum;run;scene_num;high.conf.correct
B1;1.31933172559366;1;1;19;6;1;1
A12;1.50309050595388;0;1;19;6;12;0
B5;1.51946697570384;1;0;20;1;5;0
A1;0.934633824974298;0;0;20;1;1;0
B10;0.90260621951893;1;1;20;1;10;1
A11;1.01865970622748;1;0;20;1;11;0
A12;1.01885604858398;1;0;20;1;12;0
B16;1.13546495791525;1;0;20;1;16;0
A6;1.21898034866899;1;1;20;1;6;1
A14;0.801765873562545;0;0;20;1;14;0
B2;0.851602871436626;0;0;20;1;2;0
B8;1.15201360499486;0;0;20;1;8;0
A5;0.868410540279001;0;0;20;1;5;0
B9;0.935802440159023;1;0;20;1;9;0
B6;1.26906579500064;0;1;20;1;6;0
A16;1.20237015560269;1;0;20;1;16;0
A10;1.46959637291729;1;1;20;1;10;1
B1;0.968703014776111;1;0;20;1;1;0
A13;1.18522568466142;1;1;20;1;13;1
B11;0.718275403603911;0;0;20;1;11;0
B15;1.11906507797539;1;0;20;1;15;0
A4;0.935237578116357;0;1;20;1;4;0
A7;1.30276948586106;0;0;20;1;7;0
A15;0.668240552768111;1;0;20;1;15;0
A3;1.06876516481861;1;1;20;1;3;1
B0;0.968669409863651;0;0;20;1;0;0
A0;0.801442664116621;1;0;20;1;0;0
B14;0.718238023109734;1;0;20;1;14;0
B12;1.55315594049171;1;1;20;1;12;1
B17;0.868150386493653;1;0;20;1;17;0
A2;0.7517483914271;1;1;20;1;2;1
A9;0.652465193066746;1;0;20;1;9;0
B3;0.618062220513821;1;1;20;1;3;1
B4;1.03543188143522;1;1;20;1;4;1
A8;1.73625357495621;0;0;20;1;8;0
B7;1.41984772868454;0;0;20;1;7;0
A17;0.684804680757225;0;0;20;1;17;0
B13;0.851878506597131;1;0;20;1;13;0
B11;1.11913644056767;1;0;20;2;11;0
A6;1.33672879915684;1;1;20;2;6;1
B16;1.41954943910241;1;0;20;2;16;0
B4;1.01878242008388;1;1;20;2;4;1
A10;1.11903222836554;1;1;20;2;10;1
B13;0.584671167656779;1;1;20;2;13;1
A0;1.0355410031043;1;0;20;2;0;0
B12;1.21914874995127;0;0;20;2;12;0
A4;0.751817111391574;1;1;20;2;4;1
B1;1.9541034437716;0;1;20;2;1;0
A5;1.12023331504315;0;0;20;2;5;0
A9;1.6709025031887;0;0;20;2;9;0
A17;1.00177199020982;0;1;20;2;17;0
B8;1.83715357864276;1;0;20;2;8;0
B10;0.951975771225989;1;1;20;2;10;1
B2;1.369430010207;1;1;20;2;2;1
A1;0.985437809955329;1;1;20;2;1;1
A15;0.786008637398481;1;1;20;2;15;1
A3;0.634736980311573;1;1;20;2;3;1
A11;0.835242260247469;1;0;20;2;11;0
A13;0.952587830834091;1;1;20;2;13;1
B6;1.45290877576917;1;1;20;2;6;1
B9;0.567932975012809;1;0;20;2;9;0
A8;1.06905174907297;0;0;20;2;8;0
A16;1.01882244367152;1;1;20;2;16;1
B15;0.702285577077419;1;1;20;2;15;1
B5;1.15272534638643;0;0;20;2;5;0
B3;0.78462442336604;1;1;20;2;3;1
B14;1.06895773112774;1;0;20;2;14;0
B0;0.918676092755049;1;0;20;2;0;0
A12;1.06838720524684;1;0;20;2;12;0
B17;0.935291194822639;0;0;20;2;17;0
A2;0.95204109326005;1;1;20;2;2;1
B7;0.934866415336728;1;0;20;2;7;0
A14;1.20244416128844;1;0;20;2;14;0
A7;0.868393548764288;1;0;20;2;7;0
A10;1.01877147005871;1;1;20;3;10;1
B9;1.00233685225248;0;0;20;3;9;0
B11;1.16936159227043;1;1;20;3;11;1
A11;1.35296065546572;1;1;20;3;11;1
A5;1.13565374864265;0;0;20;3;5;0
A14;0.968596159014851;1;1;20;3;14;1
A0;0.584654931910336;0;1;20;3;0;0
A17;1.20237015560269;1;0;20;3;17;0
B3;0.768418242689222;1;1;20;3;3;1
A8;0.534651798196137;0;0;20;3;8;0
A3;0.835130873601884;1;1;20;3;3;1
A7;0.851866801269352;1;0;20;3;7;0
