sub;run;type;z;roi
36;pre-IP;within_item-across_pair;9,17886879836694e-03;ca1_body_thre_0.5
1;IP;within_pair-across_pair;-1,00347387114840e-02;ppa_avg_scene_top_300
1;pre-IP;within_pair-across_pair;-2,29174524693721e-02;ppa_avg_scene_top_300
2;IP;within_pair-across_pair;1,96812016163799e-02;ppa_avg_scene_top_300
2;pre-IP;within_pair-across_pair;-5,06519295781523e-03;ppa_avg_scene_top_300
3;IP;within_pair-across_pair;2,44759718275774e-02;ppa_avg_scene_top_300
3;pre-IP;within_pair-across_pair;2,09936207748737e-03;ppa_avg_scene_top_300
4;IP;within_pair-across_pair;2,10141535217370e-02;ppa_avg_scene_top_300
4;pre-IP;within_pair-across_pair;1,53171183549049e-02;ppa_avg_scene_top_300
5;IP;within_pair-across_pair;-1,60989772386710e-02;ppa_avg_scene_top_300
5;pre-IP;within_pair-across_pair;1,22062181125825e-02;ppa_avg_scene_top_300
6;IP;within_pair-across_pair;-5,88967650772469e-03;ppa_avg_scene_top_300
6;pre-IP;within_pair-across_pair;1,56121715005473e-02;ppa_avg_scene_top_300
7;IP;within_pair-across_pair;2,73593791267556e-02;ppa_avg_scene_top_300
7;pre-IP;within_pair-across_pair;-1,28243985577850e-03;ppa_avg_scene_top_300
9;IP;within_pair-across_pair;-5,38825919220136e-03;ppa_avg_scene_top_300
9;pre-IP;within_pair-across_pair;-8,22676615349504e-04;ppa_avg_scene_top_300
10;IP;within_pair-across_pair;1,49011918283881e-02;ppa_avg_scene_top_300
10;pre-IP;within_pair-across_pair;3,57243175070770e-02;ppa_avg_scene_top_300
11;IP;within_pair-across_pair;5,29653109079682e-03;ppa_avg_scene_top_300
11;pre-IP;within_pair-across_pair;2,53982452080674e-03;ppa_avg_scene_top_300
12;IP;within_pair-across_pair;-4,05656962809544e-03;ppa_avg_scene_top_300
12;pre-IP;within_pair-across_pair;9,12060500753196e-03;ppa_avg_scene_top_300
13;IP;within_pair-across_pair;-1,00647753340819e-02;ppa_avg_scene_top_300
13;pre-IP;within_pair-across_pair;1,18126501850173e-03;ppa_avg_scene_top_300
14;IP;within_pair-across_pair;-2,10667900820667e-02;ppa_avg_scene_top_300
14;pre-IP;within_pair-across_pair;5,23588645710924e-05;ppa_avg_scene_top_300
17;IP;within_pair-across_pair;7,70112118068802e-03;ppa_avg_scene_top_300
17;pre-IP;within_pair-across_pair;-1,65771084842818e-03;ppa_avg_scene_top_300
18;IP;within_pair-across_pair;-4,18679953654449e-03;ppa_avg_scene_top_300
18;pre-IP;within_pair-across_pair;-9,65432953482590e-05;ppa_avg_scene_top_300
19;IP;within_pair-across_pair;-8,26143544426127e-03;ppa_avg_scene_top_300
19;pre-IP;within_pair-across_pair;-8,14503477899633e-03;ppa_avg_scene_top_300
20;IP;within_pair-across_pair;-4,22336933452408e-04;ppa_avg_scene_top_300
20;pre-IP;within_pair-across_pair;1,58369393323672e-04;ppa_avg_scene_top_300
21;IP;within_pair-across_pair;8,56046975166038e-03;ppa_avg_scene_top_300
21;pre-IP;within_pair-across_pair;-8,31311719358501e-03;ppa_avg_scene_top_300
22;IP;within_pair-across_pair;2,45094263230103e-03;ppa_avg_scene_top_300
22;pre-IP;within_pair-across_pair;1,08579723639017e-02;ppa_avg_scene_top_300
23;IP;within_pair-across_pair;2,46058765559598e-02;ppa_avg_scene_top_300
23;pre-IP;within_pair-across_pair;7,85614276233432e-03;ppa_avg_scene_top_300
24;IP;within_pair-across_pair;6,04241679360441e-04;ppa_avg_scene_top_300
24;pre-IP;within_pair-across_pair;-1,48897136682703e-02;ppa_avg_scene_top_300
25;IP;within_pair-across_pair;1,89611732518559e-02;ppa_avg_scene_top_300
25;pre-IP;within_pair-across_pair;7,81645883513374e-03;ppa_avg_scene_top_300
26;IP;within_pair-across_pair;7,90445938731720e-03;ppa_avg_scene_top_300
26;pre-IP;within_pair-across_pair;-1,81600807924662e-02;ppa_avg_scene_top_300
27;IP;within_pair-across_pair;1,98021075050888e-03;ppa_avg_scene_top_300
27;pre-IP;within_pair-across_pair;-7,59246158945827e-04;ppa_avg_scene_top_300
28;IP;within_pair-across_pair;9,66816624738612e-03;ppa_avg_scene_top_300
28;pre-IP;within_pair-across_pair;3,82186682034647e-03;ppa_avg_scene_top_300
29;IP;within_pair-across_pair;1,13907573274111e-02;ppa_avg_scene_top_300
29;pre-IP;within_pair-across_pair;3,26818871129494e-02;ppa_avg_scene_top_300
31;IP;within_pair-across_pair;5,69700977403876e-03;ppa_avg_scene_top_300
31;pre-IP;within_pair-across_pair;4,26660865796991e-03;ppa_avg_scene_top_300
32;IP;within_pair-across_pair;2,99090288618910e-03;ppa_avg_scene_top_300
32;pre-IP;within_pair-across_pair;2,03090050473755e-02;ppa_avg_scene_top_300
33;IP;within_pair-across_pair;2,67125411933144e-03;ppa_avg_scene_top_300
33;pre-IP;within_pair-across_pair;-6,04111061534852e-03;ppa_avg_scene_top_300
35;IP;within_pair-across_pair;7,00293525356757e-04;ppa_avg_scene_top_300
35;pre-IP;within_pair-across_pair;7,41304389352157e-03;ppa_avg_scene_top_300
36;IP;within_pair-across_pair;-7,26871749085914e-04;ppa_avg_scene_top_300
36;pre-IP;within_pair-across_pair;-5,63709512989506e-03;ppa_avg_scene_top_300
1;IP;within_item-across_pair;2,72141470954518e-02;ppa_avg_scene_top_300
1;pre-IP;within_item-across_pair;-8,66774209152230e-03;ppa_avg_scene_top_300
2;IP;within_item-across_pair;3,67116001848175e-04;ppa_avg_scene_top_300
2;pre-IP;within_item-across_pair;-2,81758333910017e-02;ppa_avg_scene_top_300
3;IP;within_item-across_pair;4,36546457220167e-03;ppa_avg_scene_top_300
3;pre-IP;within_item-across_pair;6,87532842622932e-03;ppa_avg_scene_top_300
4;IP;within_item-across_pair;6,09119415806063e-03;ppa_avg_scene_top_300
4;pre-IP;within_item-across_pair;-3,75254327016103e-03;ppa_avg_scene_top_300
5;IP;within_item-across_pair;2,32792973662329e-02;ppa_avg_scene_top_300
5;pre-IP;within_item-across_pair;-2,83667317337250e-03;ppa_avg_scene_top_300
6;IP;within_item-across_pair;2,99772852051744e-02;ppa_avg_scene_top_300
6;pre-IP;within_item-across_pair;1,25555031426692e-02;ppa_avg_scene_top_300
7;IP;within_item-across_pair;-1,52096247865265e-02;ppa_avg_scene_top_300
7;pre-IP;within_item-across_pair;-7,27670375625850e-03;ppa_avg_scene_top_300
9;IP;within_item-across_pair;1,18357383386335e-02;ppa_avg_scene_top_300
9;pre-IP;within_item-across_pair;-1,65556834675586e-02;ppa_avg_scene_top_300
10;IP;within_item-across_pair;-5,33999012546671e-03;ppa_avg_scene_top_300
10;pre-IP;within_item-across_pair;-3,09787610935122e-03;ppa_avg_scene_top_300
11;IP;within_item-across_pair;4,39550926507290e-03;ppa_avg_scene_top_300
11;pre-IP;within_item-across_pair;1,64636167432442e-02;ppa_avg_scene_top_300
12;IP;within_item-across_pair;-2,02263735259759e-02;ppa_avg_scene_top_300
12;pre-IP;within_item-across_pair;-7,79007233349639e-03;ppa_avg_scene_top_300
13;IP;within_item-across_pair;-6,18533193133542e-03;ppa_avg_scene_top_300
13;pre-IP;within_item-across_pair;2,28649067866772e-02;ppa_avg_scene_top_300
