"";"sub";"run";"obj";"type";"z";"roi"
"121";36;"learned";"first";"within_pair-across_pair";-0,0147244398854222;"ca23dg_body_thre_0.5"
"122";36;"learned";"last";"within_pair-across_pair";0,00115034268093486;"ca23dg_body_thre_0.5"
"123";36;"pre-learned";"first";"within_pair-across_pair";-0,00241799038955555;"ca23dg_body_thre_0.5"
"124";36;"pre-learned";"last";"within_pair-across_pair";0,0119105411401039;"ca23dg_body_thre_0.5"
"125";1;"learned";"first";"within_item-across_pair";-0,00899563534006788;"ca23dg_body_thre_0.5"
"126";1;"learned";"last";"within_item-across_pair";-0,00343484058057327;"ca23dg_body_thre_0.5"
"127";1;"pre-learned";"first";"within_item-across_pair";-0,00294695693190381;"ca23dg_body_thre_0.5"
"128";1;"pre-learned";"last";"within_item-across_pair";-0,013830764935933;"ca23dg_body_thre_0.5"
"129";2;"learned";"first";"within_item-across_pair";0,00114082275803999;"ca23dg_body_thre_0.5"
"130";2;"learned";"last";"within_item-across_pair";0,00729571004248983;"ca23dg_body_thre_0.5"
"131";2;"pre-learned";"first";"within_item-across_pair";-0,0260104748910067;"ca23dg_body_thre_0.5"
"132";2;"pre-learned";"last";"within_item-across_pair";-0,0300514654668185;"ca23dg_body_thre_0.5"
"133";3;"learned";"first";"within_item-across_pair";0,0104834850980981;"ca23dg_body_thre_0.5"
"134";3;"learned";"last";"within_item-across_pair";0,0198961508585667;"ca23dg_body_thre_0.5"
"135";3;"pre-learned";"first";"within_item-across_pair";-0,0450463006327123;"ca23dg_body_thre_0.5"
"136";3;"pre-learned";"last";"within_item-across_pair";0,0254831077572641;"ca23dg_body_thre_0.5"
"137";4;"learned";"first";"within_item-across_pair";0,006536972381471;"ca23dg_body_thre_0.5"
"138";4;"learned";"last";"within_item-across_pair";-0,00485601306668128;"ca23dg_body_thre_0.5"
"139";4;"pre-learned";"first";"within_item-across_pair";0,00503104742202616;"ca23dg_body_thre_0.5"
"140";4;"pre-learned";"last";"within_item-across_pair";-0,0537991650556924;"ca23dg_body_thre_0.5"
"141";5;"learned";"first";"within_item-across_pair";0,000461725854962568;"ca23dg_body_thre_0.5"
"142";5;"learned";"last";"within_item-across_pair";0,00767456633016684;"ca23dg_body_thre_0.5"
"143";5;"pre-learned";"first";"within_item-across_pair";-0,0315725438970668;"ca23dg_body_thre_0.5"
"144";5;"pre-learned";"last";"within_item-across_pair";-0,0419685924135624;"ca23dg_body_thre_0.5"
"145";6;"learned";"first";"within_item-across_pair";0,0179349142697277;"ca23dg_body_thre_0.5"
"146";6;"learned";"last";"within_item-across_pair";0,0198001609021963;"ca23dg_body_thre_0.5"
"147";6;"pre-learned";"first";"within_item-across_pair";-0,0118608226512922;"ca23dg_body_thre_0.5"
"148";6;"pre-learned";"last";"within_item-across_pair";0,000595415194693181;"ca23dg_body_thre_0.5"
"149";7;"learned";"first";"within_item-across_pair";0,0109998192869067;"ca23dg_body_thre_0.5"
"150";7;"learned";"last";"within_item-across_pair";-0,0206613336329592;"ca23dg_body_thre_0.5"
"151";7;"pre-learned";"first";"within_item-across_pair";0,013997921316451;"ca23dg_body_thre_0.5"
"152";7;"pre-learned";"last";"within_item-across_pair";0,0146784647311652;"ca23dg_body_thre_0.5"
"153";9;"learned";"first";"within_item-across_pair";-0,0289269502237972;"ca23dg_body_thre_0.5"
"154";9;"learned";"last";"within_item-across_pair";-0,0124825881874749;"ca23dg_body_thre_0.5"
"155";9;"pre-learned";"first";"within_item-across_pair";-0,0102957579605131;"ca23dg_body_thre_0.5"
"156";9;"pre-learned";"last";"within_item-across_pair";-0,0052012998352293;"ca23dg_body_thre_0.5"
"157";10;"learned";"first";"within_item-across_pair";-0,00741437991342349;"ca23dg_body_thre_0.5"
"158";10;"learned";"last";"within_item-across_pair";0,00266550453501988;"ca23dg_body_thre_0.5"
"159";10;"pre-learned";"first";"within_item-across_pair";-0,0479416487800932;"ca23dg_body_thre_0.5"
"160";10;"pre-learned";"last";"within_item-across_pair";-0,0249879099249925;"ca23dg_body_thre_0.5"
"161";11;"learned";"first";"within_item-across_pair";-0,0326876015333869;"ca23dg_body_thre_0.5"
"162";11;"learned";"last";"within_item-across_pair";0,015495956460366;"ca23dg_body_thre_0.5"
"163";11;"pre-learned";"first";"within_item-across_pair";-0,0187972169307572;"ca23dg_body_thre_0.5"
"164";11;"pre-learned";"last";"within_item-across_pair";0,0173223949827976;"ca23dg_body_thre_0.5"
"165";12;"learned";"first";"within_item-across_pair";0,00325783308114989;"ca23dg_body_thre_0.5"
"166";12;"learned";"last";"within_item-across_pair";-0,0118010232225841;"ca23dg_body_thre_0.5"
"167";12;"pre-learned";"first";"within_item-across_pair";0,0113204028602613;"ca23dg_body_thre_0.5"
"168";12;"pre-learned";"last";"within_item-across_pair";-0,00102103437022379;"ca23dg_body_thre_0.5"
"169";13;"learned";"first";"within_item-across_pair";0,011582701662808;"ca23dg_body_thre_0.5"
"170";13;"learned";"last";"within_item-across_pair";0,027320805801942;"ca23dg_body_thre_0.5"
"171";13;"pre-learned";"first";"within_item-across_pair";0,0481848171294024;"ca23dg_body_thre_0.5"
